morpheme,type,case,number,perPoss,numbPoss,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrec,sources
t,tn,nom,p,,,t,n,,-,-,,t,s,,t,s,,pl:t,H2
k,tn,nom,d,,,k,allV,x,k,iallV(i),,k,sallV,x,k,sallV,x,,H2
it,tn,nom,p,,,it,n,decap,it,n,,it,s,decap,it,s,decap,,H2
up,tn,gen,s,,,up,n,decap,up up,s i(i),decap -,up,s,decap,up,s,decap,,H2
k,tn,gen,d,,,k,allV,x,k,iallV(i),,k,sallV,x,k,sallV,x,,H2
it,tn,gen,p,,,it,n,decap,it,n,,it,s,decap,it,s,decap,,H2
mik,tn,acc,s,,,mik,n,,mik mik,a i(i),,mik mik mik,"nas a if(id:giik/1nn,s)",,mik mik,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngnik,tn,acc,d,,,ngnik,allV,x,ngnik,iallV(i),,ngnik,sallV,x,ngnik,sallV,x x,,H2
nik,tn,acc,p,,,nik,n,,nik nik,a i(i),,nik nik,nas a,,nik nik,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mut,tn,dat,s,,,mut,n,,mut mut mut,a i(i) n,- - s,mut mut mut,nas a n,- - s,mut mut,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn|id:jaq/1vn,s,nas) n",- s,,H2
ngnut,tn,dat,d,,,ngnut,allV,x,ngnut,iallV(i),,ngnut,sallV,x,ngnut,sallV,x,,H2
nut,tn,dat,p,,,nut,n,,nut nut nut,a i(i) n,- - s,nut nut nut,nas a n,- - s,nut nut,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mit,tn,abl,s,,,mit,n,,mit mit,a i(i),,mit mit,nas a,,mit mit,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngnit,tn,abl,d,,,ngnit,allV,x,ngnit,iallV(i),,ngnit,sallV,x,ngnit,sallV,x,,H2
nit,tn,abl,p,,,nit,n,,nit nit,a i(i),,nit nit,nas a,,nit nit,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
mi,tn,loc,s,,,mi,n,,mi mi,a i(i),,mi mi,nas a,,mi mi,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
ngni,tn,loc,d,,,ngni,allV,x,ngni,iallV(i),,ngni,sallV,x,ngni,sallV,x,,H2
ni,tn,loc,p,,,ni,n,,ni ni,a i(i),,ni mi,nas a,,ni ni,"if(id:juq/1vn|id:ksaq/1nn|id:jaq/3vn,s,nas) n",- s,,H2
tut,tn,sim,s,,,tut,n,,tut,i(i),,tut,n,,tut tut,"n if(id:juq/1vn,s)",,,H2
ktut,tn,sim,d,,,ktut ktitut,allV allV,x x,ktut ktitut,iallV(i) iallV(i),,ktut ktitut,sallV sallV,x x,ktut ktitut,sallV sallV,x x,,H2
titut,tn,sim,p,,,titut,n,,titut,i(i),,titut,n,,titut titut,"n if(id:juq/1vn,s)",,,H2
kkut,tn,via,s,,,kkut,n,,kkut,i(i),,kkut,s,,kkut,s,,,H2
kkut,tn,via,d,,,kkut,allV allV,x x,kkut,iallV(i),,kkut,sallV,x,kkut,sallV,x,,H2
tigut,tn,via,p,,,tigut,n,,tigut,i(i),,tigut,n,,tigut tigut,"n if(id:juq/1vn,s)",,,H2
ga,tn,nom,s,1,s,ga,n,,ga,i(i),,ga,s,,ra,fus,,,H2
kka,tn,nom,d,1,s,kka,allV allV,x x,kka,iallV(i),,kka,sallV,x,kka,sallV,x,,H2
kka,tn,nom,p,1,s,kka,n,,kka,i(i),,kka,s,,kka,s,,,H2
ma,tn,gen,s,1,s,ma,n,,ma,i(i) i(im),,ma ma,s a,,ma ma,nas s,,,H2
kka,tn,gen,d,1,s,kka ngma,allV allV,x x,kka ngma,iallV(i) iallV(i),,kka ngma,sallV sallV,x x,kka ngma,sallV sallV,x x,,H2
kka,tn,gen,p,1,s,kka,n,,kka,i(i),,kka,s,,kka,s,,,H2
mnik,tn,acc,s,1,s,mnik,n,,mnik,i(i),,mnik,s,,mnik,s,,,H2
mnik,tn,acc,d,1,s,mnik,allV,x,mnik,iallV(i),,mnik,sallV,x,mnik,sallV,x,,H2
mnik,tn,acc,p,1,s,mnik,n,,mnik,i(i),,mnik,s,,mnik,s,,,H2
mnut,tn,dat,s,1,s,mnut,n,,mnut,i(i),,mnut,s,,mnut,s,,,H2
mnut,tn,dat,d,1,s,mnut,allV,x,mnut,iallV(i),,mnut,sallV,x,mnut,sallV,x,,H2
mnut,tn,dat,p,1,s,mnut,n,,mnut,i(i),,mnut,s,,mnut,s,,,H2
mnit,tn,abl,s,1,s,mnit,n,,mnit,i(i),,mnit,s,,mnit,s,,,H2
mnit,tn,abl,d,1,s,mnit,allV,x,mnit,iallV(i),,mnit,sallV,x,mnit,sallV,x,,H2
mnit,tn,abl,p,1,s,mnit,n,,mnit,i(i),,mnit,s,,mnit,s,,,H2
mni,tn,loc,s,1,s,mni,n,,mni,i(i),,mni,s,,mni,s,,,H2
mni,tn,loc,d,1,s,mni,allV,x,mni,iallV(i),,mni,sallV,x,mni,sallV,x,,H2
mni,tn,loc,p,1,s,mni,n,,mni,i(i),,mni,s,,mni,s,,,H2
ptut,tn,sim,s,1,s,ptut,n,,ptut,i(i),,ptut,s,,ptut,s,,,H2
ptut,tn,sim,d,1,s,ptut,allV,x,ptut,iallV(i),,ptut,sallV,x,ptut,sallV,x,,H2
ptut,tn,sim,p,1,s,ptut ptitut,n n,,ptut ptitut,i(i) i(i),,ptut ptitut,s s,,ptut ptitut,s s,,,H2
pkut,tn,via,s,1,s,pkut,n,,pkut,i(i),,pkut,s,,pkut,s,,,H2
pkut,tn,via,d,1,s,pkut,allV,x,pkut,iallV(i),,pkut,sallV,x,pkut,sallV,x,,H2
pkut,tn,via,p,1,s,pkut ptigut,n n,,pkut ptigut,i(i) i(i),,pkut ptigut,s s,,pkut ptigut,s s,,,H2
vuk,tn,nom,s,1,d,vuk kput,n n,,vuk kput,i(i) i(i),,vuk kput,s s,,vuk put,s n,,,H2
kpuk,tn,nom,d,1,d,kpuk,allV,x,kpuk,iallV(i),,kpuk,sallV,x,kpuk,sallV,x,,H2
vuk,tn,nom,p,1,d,vuk kput,n n,,vuk  kput,i(i) i(i),,vuk kput,s s,,vuk put,s n,,,H2
mnuk,tn,gen,s,1,d,mnuk,n,,mnuk,i(i),,mnuk,s,,mnuk,s,,,H2
ngnuk,tn,gen,d,1,d,ngnuk,allV,x,ngnuk,iallV(i),,ngnuk,sallV,x,ngnuk,sallV,x,,H2
mnuk,tn,gen,p,1,d,mnuk,n,,mnuk,i(i),,mnuk,s,,mnuk,s,,,H2
ptingnik,tn,acc,s,1,d,ptingnik,n,,ptingnik,i(i),,ptingnik,s,,ptingnik,s,,,H2
ptingnik,tn,acc,d,1,d,ptingnik,allV,x,ptingnik,iallV(i),,ptingnik,sallV,x,ptingnik,sallV,x,,H2
ptinnik,tn,acc,p,1,d,ptingnik,n,,ptingnik,i(i),,ptingnik,s,,ptingnik,s,,,H2
ptingnut,tn,dat,s,1,d,ptingnut,n,,ptingnut,i(i),,ptingnut,s,,ptingnut,s,,,H2
ptingnut,tn,dat,d,1,d,ptingnut,allV,x,ptingnut,iallV(i),,ptingnut,sallV,x,ptingnut,sallV,x,,H2
ptingnut,tn,dat,p,1,d,ptingnut,n,,ptingnut,i(i),,ptingnut,s,,ptingnut,s,,,H2
ptingnit,tn,abl,s,1,d,ptingnit,n,,ptingnit,i(i),,ptingnit,s,,ptingnit,s,,,H2
ptingnit,tn,abl,d,1,d,ptingnit,allV,x,ptingnit,iallV(i),,ptingnit,sallV,x,ptingnit,sallV,x,,H2
ptingnit,tn,abl,p,1,d,ptingnit,n,,ptingnit,i(i),,ptingnit,s,,ptingnit,s,,,H2
ptingni,tn,loc,s,1,d,ptingni,n,,ptingni,i(i),,ptingni,s,,ptingni,s,,,H2
ptingni,tn,loc,d,1,d,ptingni,allV,x,ptingni,iallV(i),,ptingni,sallV,x,ptingni,sallV,x,,H2
ptingni,tn,loc,p,1,d,ptingni,n,,ptingni,i(i),,ptingni,s,,ptingni,s,,,H2
ptitut,tn,sim,s,1,d,ptitut,n,,ptitut,i(i),,ptitut,s,,ptitut,s,,,H2
ptitut,tn,sim,d,1,d,ptitut,allV,x,ptitut,iallV(i),,ptitut,sallV,x,ptitut,sallV,x,,H2
ptitut,tn,sim,p,1,d,ptitut,n,,ptitut,i(i),,ptitut,s,,ptitut,s,,,H2
ptigut,tn,via,s,1,d,ptigut,n,,ptigut,i(i),,ptigut,s,,ptigut,s,,,H2
ptigut,tn,via,d,1,d,ptigut,allV,x,ptigut,iallV(i),,ptigut,sallV,x,ptigut,sallV,x,,H2
ptigut,tn,via,p,1,d,ptigut,n,,ptigut,i(i),,ptigut,s,,ptigut,s,,,H2
vut,tn,nom,s,1,p,vut kput,n n,,vut kput,i(i) i(i),,vut kput,s s,,vut put,s n,,,H2
vut,tn,nom,d,1,p,vut kput,allV allV,x x,vut kput,iallV(i) iallV(i),,vut kput,sallV sallV,x x,vut put,sallV allV,x x,,H2
vut,tn,nom,p,1,p,vut kput,n n,,vut kput,i(i) i(i),,vut kput,s s,,vut put,s n,,,H2
pta,tn,gen,s,1,p,pta,n,,pta,i(i),,pta,s,,pta,s,,,H2
pta,tn,gen,d,1,p,pta,allV,x,pta,iallV(i),,pta,sallV,x,pta,sallV,x,,H2
pta,tn,gen,p,1,p,pta,n,,pta,i(i),,pta,s,,pta,s,,,H2
ptingnik,tn,acc,s,1,p,ptingnik,n,,ptingnik,i(i),,ptingnik,s,,ptingnik,s,,,H2
ptingnik,tn,acc,d,1,p,ptingnik,allV,x,ptingnik,iallV(i),,ptingnik,sallV,x,ptingnik,sallV,x,,H2
ptingnik,tn,acc,p,1,p,ptingnik,n,,ptingnik,i(i),,ptingnik,s,,ptingnik,s,,,H2
ptingnut,tn,dat,s,1,p,ptingnut,n,,ptingnut,i(i),,ptingnut,s,,ptingnut,s,,,H2
ptingnut,tn,dat,d,1,p,ptingnut,allV,x,ptingnut,iallV(i),,ptingnut,sallV,x,ptingnut,sallV,x,,H2
ptingnut,tn,dat,p,1,p,ptingnut,n,,ptingnut,i(i),,ptingnut,s,,ptingnu,s,,,H2
ptingnit,tn,abl,s,1,p,ptingnit,n,,ptingnit,i(i),,ptingnit,s,,ptingnit,s,,,H2
ptingnit,tn,abl,d,1,p,ptingnit,allV,x,ptingnit,iallV(i),,ptingnit,sallV,x,ptingnit,sallV,x,,H2
ptingnit,tn,abl,p,1,p,ptingnit,n,,ptingnit,i(i),,ptingnit,s,,ptingnit,s,,,H2
ptingni,tn,loc,s,1,p,ptingni,n,,ptingni,i(i),,ptingni,s,,ptingni,s,,,H2
ptingni,tn,loc,d,1,p,ptingni,allV,x,ptingni,iallV(i),,ptingni,sallV,x,ptingni,sallV,x,,H2
ptingni,tn,loc,p,1,p,ptingni,n,,ptingni,i(i),,ptingni,s,,ptingni,s,,,H2
ptitut,tn,sim,s,1,p,ptitut,n,,ptitut,i(i),,ptitut,s,,ptitut,s,,,H2
ptitut,tn,sim,d,1,p,ptitut,allV,x,ptitut,iallV(i),,ptitut,sallV,x,ptitut,sallV,x,,H2
ptitut,tn,sim,p,1,p,ptitut,n,,ptitut,i(i),,ptitut,s,,ptitut,s,,,H2
ptigut,tn,via,s,1,p,ptigut,n,,ptigut,i(i),,ptigut,s,,ptigut,s,,,H2
ptigut,tn,via,d,1,p,ptigut,allV,x,ptigut,iallV(i),,ptigut,sallV,x,ptigut,sallV,x,,H2
ptigut,tn,via,p,1,p,ptigut,n,,ptigut,i(i),,ptigut,s,,ptigut,s,,,H2
it,tn,nom,s,2,s,it,n,decap,it,i(i),,it,s,decap,it,s,decap,,H2
kkik,tn,nom,d,2,s,kkik,allV,x,kkik,iallV(i),,kkik,sallV,x,kkik,sallV,x,,H2
tit,tn,nom,p,2,s,tit,n,,tit,i(i),,tit,s,,tit,s,,,H2
vit,tn,gen,s,2,s,vit kpit,n n,,vit kpit,i(i) s,,vit kpit,s s,,vit pit,s n,,,H2
kpik,tn,gen,d,2,s,kpik kkik vit kpit,allV allV allV allV,x x x x,kpik kkik vit kpit,iallV(i) iallV(i) iallV(i) iallV(i),,kpik kkik vit kpit,sallV sallV sallV sallV,x x x x,kpik kkik vit kpit,sallV sallV sallV sallV,x x x x,,H2
tit,tn,gen,p,2,s,tit vit kpit,n n n,,tit vit kpit,i(i) i(i) i(i),,tit vit kpit,s s s,,tit vit kpit,s s s,,,H2
ngnik,tn,acc,s,2,s,ngnik,n,,ngnik,i(i),,ngnik,s,,ngnik nik,s nas,,,H2
ngnik,tn,acc,d,2,s,ngnik,allV,x,ngnik,iallV(i),,ngnik,sallV,x,ngnik,sallV,x,,H2
ngnik,tn,acc,p,2,s,ngnik,n,,ngnik,i(i),,ngnik,s,,ngnik,s,,,H2
ngnut,tn,dat,s,2,s,ngnut,n,,ngnut,i(i),,ngnut,s,,ngnut nut,s nas,,,H2
ngnut,tn,dat,d,2,s,ngnut,allV,x,ngnut,iallV(i),,ngnut,sallV,x,ngnut,sallV,x,,H2
ngnut,tn,dat,p,2,s,ngnut,n,,ngnut,i(i),,ngnut,s,,ngnut,s,,,H2
ngnit,tn,abl,s,2,s,ngnit,n,,ngnit,i(i),,ngnit,s,,ngnit nit,s nas,,,H2
ngnit,tn,abl,d,2,s,ngnit,allV,x,ngnit,iallV(i),,ngnit,sallV,x,ngnit,sallV,x,,H2
ngnit,tn,abl,p,2,s,ngnit,n,,ngnit,i(i),,ngnit,s,,ngnit,s,,,H2
ngni,tn,loc,s,2,s,ngni,n,,ngni,i(i),,ngni,s,,ngni ni,s nas,,,H2
ngni,tn,loc,d,2,s,ngni,allV,x,ngni,iallV(i),,ngni,sallV,x,ngni,sallV,x,,H2
ngni,tn,loc,p,2,s,ngni,n,,ngni,i(i),,ngni,s,,ngni,s,,,H2
ktut,tn,sim,s,2,s,ktut,n,,ktut,i(i),,ktut,s,,ktut,s,,,H2
ktut,tn,sim,d,2,s,ktut,allV,x,ktut,iallV(i),,ktut,sallV,x,ktut,sallV,x,,H2
ktut,tn,sim,p,2,s,ktut ktitut,n n,,ktut ktitut,i(i) i(i),,ktut ktitut,s s,,ktut ktitut,s s,,,H2
kkut,tn,via,s,2,s,kkut,n,,kkut,i(i),,kkut,s,,kkut,s,,,H2
kkut,tn,via,d,2,s,kkut,allV,x,kkut,iallV(i),,kkut,sallV,x,kkut,sallV,x,,H2
ktigut,tn,via,p,2,s,ktigut,n,,ktigut,i(i),,ktigut,s,,ktigut,s,,,H2
tik,tn,nom,s,2,d,tik sik,n n,,tik sik,i(i) i(i),,tik sik,s s,,tik sik,s s,,,H2
ktik,tn,nom,d,2,d,ktik ksik,allV allV,x x,ktik ksik,iallV(i) iallV(i),,ktik ksik,sallV sallV,x x,ktik ksik,sallV sallV,x x,,H2
tik,tn,nom,p,2,d,tik sik,n n,,tik sik,i(i) i(i),,tik sik,s s,,tik sik,s s,,,H2
tsik,tn,gen,s,2,d,tsik,n,,tsik,i(i),,tsik,s,,tsik,s,,,H2
ktik,tn,gen,d,2,d,ktik ksik,allV allV,x x,ktik ksik,iallV(i) iallV(i),,ktik ksik,sallV sallV,x x,ktik ksik,sallV sallV,x x,,H2
tsik,tn,gen,p,2,d,tsik,n,,tsik,i(i),,tsik,s,,tsik,s,,,H2
psingnik,tn,acc,s,2,d,psingnik ptingnik,n n,,psingnik ptingnik,i(i) i(i),,psingnik ptingnik,s s,,psingnik ptingnik,s s,,,H2
psingnik,tn,acc,d,2,d,psingnik ptingnik ksingnik,allV allV allV,x x x,psingnik ptingnik ksingnik,iallV(i) iallV(i) iallV(i),,psingnik ptingnik ksingnik,sallV sallV sallV,x x x,psingnik ptingnik ksingnik,sallV sallV sallV,x x x,,H2
psingnik,tn,acc,p,2,d,psingnik ptingnik,n n,,psingnik ptingnik,i(i) i(i),,psingnik ptingnik,s s,,psingnik ptingnik,s s,,,H2
psingnut,tn,dat,s,2,d,psingnut ptingnut,n n,,psingnut ptingnut,i(i) i(i),,psingnut ptingnut,s s,,psingnut ptingnut,s s,,,H2
psingnut,tn,dat,d,2,d,psingnut ptingnut ksingnut,allV allV allV,x x x,psingnut ptingnut ksingnut,iallV(i) iallV(i) iallV(i),,psingnut ptingnut ksingnut,sallV sallV sallV,x x x,psingnut ptingnut ksingnut,sallV sallV sallV,x x x,,H2
psingnut,tn,dat,p,2,d,psingnut ptingnut,n n,,psingnut ptingnut,i(i) i(i),,psingnut ptingnut,s s,,psingnut ptingnut,s s,,,H2
psingnit,tn,abl,s,2,d,psingnit ptingnit,n n,,psingnit ptingnit,i(i) i(i),,psingnit ptingnit,s s,,psingnit ptingnit,s s,,,H2
psingnit,tn,abl,d,2,d,psingnit ptingnit ksingnit,allV allV allV,x x x,psingnit ptingnit ksingnit,iallV(i) iallV(i) iallV(i),,psingnit ptingnit ksingnit,sallV sallV sallV,x x x,psingnit ptingnit ksingnit,sallV sallV sallV,x x x,,H2
psingnit,tn,abl,p,2,d,psingnit ptingnit,n n,,psingnit ptingnit,i(i) i(i),,psingnit ptingnit,s s,,psingnit ptingnit,s s,,,H2
psingni,tn,loc,s,2,d,psingni ptingni,n n,,psingni ptingni,i(i) i(i),,psingni ptingni,s s,,psingni ptingni,s s,,,H2
psingni,tn,loc,d,2,d,psingni ptingni ksingni,allV allV allV,x x x,psingni ptingni ksingni,iallV(i) iallV(i) iallV(i),,psingni ptingni ksingni,sallV sallV sallV,x x x,psingni ptingni ksingni,sallV sallV sallV,x x x,,H2
psingni,tn,loc,p,2,d,psingni ptingni,n n,,psingni ptingni,i(i) i(i),,psingni ptingni,s s,,psingni ptingni,s s,,,H2
psiktut,tn,sim,s,2,d,psiktut ptiktut,n n,,psiktut ptiktut,i(i) i(i),,psiktut ptiktut,s s,,psiktut ptiktut,s s,,,H2
psiktut,tn,sim,d,2,d,psiktut ptiktut ksiktut,allV allV allV,x x x,psiktut ptiktut ksiktut,iallV(i) iallV(i) iallV(i),,psiktut ptiktut ksiktut,sallV sallV sallV,x x x,psiktut ptiktut ksiktut,sallV sallV sallV,x x x,,H2
psiktut,tn,sim,p,2,d,psiktut ptiktut,n n,,psiktut ptiktut,i(i) i(i),,psiktut ptiktut,s s,,psiktut ptiktut,s s,,,H2
psikkut,tn,via,s,2,d,psikkut ptikkut ptigut,n n n,,psikkut ptikkut ptigut,i(i) i(i) i(i),,psikkut ptikkut ptigut,s s s,,psikkut ptikkut ptigut,s s s,,,H2
psikkut,tn,via,d,2,d,psikkut ptikkut ksikkut,allV allV allV,x x x,psikkut ptikkut ksikkut,iallV(i) iallV(i) iallV(i),,psikkut ptikkut ksikkut,sallV sallV sallV,x x x,psikkut ptikkut ksikkut,sallV sallV sallV,x x x,,H2
psikkut,tn,via,p,2,d,psikkut ptikkut ptigut,n n n,,psikkut ptikkut ptigut,i(i) i(i) i(i),,psikkut ptikkut ptigut,s s s,,psikkut ptikkut ptigut,s s s,,,H2
si,tn,nom,s,2,p,si,n,,si,i(i),,si,s,,si,s,,,H2
si,tn,nom,d,2,p,si ksi,allV allV,x x,si ksi,iallV(i) iallV(i),,si ksi,sallV sallV,x x,si ksi,sallV sallV,x x,,H2
si,tn,nom,p,2,p,si,n,,si,i(i),,si,s,,si,s,,,H2
psi,tn,gen,s,2,p,psi,n,,psi,i(i),,psi,s,,psi,s,,,H2
psi,tn,gen,d,2,p,psi ksi,allV allV,x x,psi ksi,iallV(i) iallV(i),,psi ksi,sallV sallV,x x,psi ksi,sallV sallV,x x,,H2
psi,tn,gen,p,2,p,psi,n,,psi,i(i),,psi,s,,psi,s,,,H2
