morpheme,type,mode,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
vitigu,tv,int,sp,1,p,3,s,vitigu,n,,pitigu,n,,pitigu,n,,pitigu qitigu,n son,,,?
visiuk,tv,int,sp,2,p,3,s,visiuk,n,,pisiuk,n,,pisiuk,n,,pisiuk qisiuk,n son,,,?
vajjuk,tv,int,sp,3,p,3,s,vajjuk,n,,pajjuk,n,,pajjuk,n,,pajjuk qajjuk,n son,,,?
vittiguk,tv,int,sp,2,p,1,d,vittiguk,n,,pittiguk,n,,pittiguk,n,,pittiguk qittiguk,n son,,,?
vittiguk,tv,int,sp,3,p,1,d,vittiguk vaatiguk,n n,,pittiguk paatiguk,n n,,pittiguk paatiguk,n n,,pittiguk paatiguk qittiguk qaatiguk,n n son son,,,?
vassik,tv,int,sp,1,p,2,d,vassik,n,,passik,n,,passik,n,,passik qassik,n son,,,?
vaatik,tv,int,sp,3,p,2,d,vaatik,n,,paatik,n,,paatik,n,,paatik qaatik,n son,,,?
vitigik,tv,int,sp,1,p,3,d,vitigik,n,,pitigik,n,,pitigik,n,,pitigik qitigik,n son,,,?
visigik,tv,int,sp,2,p,3,d,visigik,n,,pisigik,n,,pisigik,n,,pisigik qisigik,n son,,,?
vagik,tv,int,sp,3,p,3,d,vagik,n,,pagik,n,,pagik,n,,pagik qagik,n son,,,?
vitigut,tv,int,sp,2,p,1,p,vitigut,n,,pitigut,n,,pitigut,n,,pitigut qitigut,n son,,,?
vaatigut,tv,int,sp,3,p,1,p,vaatigut,n,,paatigut,n,,paatigut,n,,paatigut qaatigut,n son,,,?
vassi,tv,int,sp,1,p,2,p,vassi,n,,passi,n,,passi,n,,passi qassi,n son,,,?
vaasi,tv,int,sp,3,p,2,p,vaasi,n,,paasi,n,,paasi,n,,paasi qaasi,n son,,,?
vitigit,tv,int,sp,1,p,3,p,vitigit,n,,pitigit,n,,pitigit,n,,pitigit qitigit,n son,,,?
visigit,tv,int,sp,2,p,3,p,visigit,n,,pisigit,n,,pisigit,n,,pisigit qisigit,n son,,,?
vagit,tv,int,sp,3,p,3,p,vagit,n,,pagit,n,,pagit,n,,pagit qagit,n son,,,?
nnga,tv,imp,sp,2,s,1,s,nnga,n,,nnga,s,,nnga,s,,nnga,s,,,?
linga,tv,imp,sp,3,s,1,s,linga,n,,linga,son,,linga,son,,linga,son,,,?
lagit,tv,imp,sp,1,s,2,s,lagit,n,,lagit,son,,lagit,son,,lagit,son,,,?
litit,tv,imp,sp,3,s,2,s,litit,n,,litit,son,,litit,son,,litit,son,,,?
lagu,tv,imp,sp,1,s,3,s,lagu,n,,lagu,son,,lagu,son,,lagu,son,,,?
guk,tv,imp,sp,2,s,3,s,guk,n,,juk,a,,guk,fus,,ruk,fus,,,?
liuk,tv,imp,sp,3,s,3,s,liuk,n,,liuk,son,,liuk,son,,liuk,son,,,?
tiguk,tv,imp,sp,2,s,1,d,tiguk,n,,tiguk,n,,tiguk,n,,tiguk,n,,,?
litiguk,tv,imp,sp,3,s,1,d,litiguk,n,,litiguk,son,,litiguk,son,,litiguk,son,,,?
lassik,tv,imp,sp,1,s,2,d,lassik,n,,lassik,son,,lassik,son,,lassik,son,,,?
litik,tv,imp,sp,3,s,2,d,litik,n,,litik,son,,litik,son,,litik,son,,,?
laakka,tv,imp,sp,1,s,3,d,laakka,n,,laakka,son,,laakka,son,,laakka,son,,,?
kkik,tv,imp,sp,2,s,3,d,kkik,n,,kkik,s,,kkik,s,,kkik,s,,,?
likkik,tv,imp,sp,3,s,3,d,likkik,n,,likkik,son,,likkik,son,,likkik,son,,,?
tigut,tv,imp,sp,2,s,1,p,tigut,n,,tigut,n,,tigut,n,,tigut,n,,,?
litigut,tv,imp,sp,3,s,1,p,litigut,n,,litigut,son,,litigut,son,,litigut,son,,,?
lassi,tv,imp,sp,1,s,2,p,lassi,n,,lassi,son,,lassi,son,,lassi,son,,,?
lisi,tv,imp,sp,3,s,2,p,lisi,n,,lisi,son,,lisi,son,,lisi,son,,,?
lakka,tv,imp,sp,1,s,3,p,lakka,n,,lakka,son,,lakka,son,,lakka,son,,,?
kkit,tv,imp,sp,2,s,3,p,kkit,n,,kkit,s,,kkit,s,,kkit,s,,,?
ligit,tv,imp,sp,3,s,3,p,ligit,n,,ligit,son,,ligit,son,,ligit,son,,,?
ttinga,tv,imp,sp,2,d,1,s,ttinga,n,,ttinga,s,,ttinga,s,,ttinga,s,,,?
linga,tv,imp,sp,3,d,1,s,linga,n,,linga,son,,linga,son,,linga,son,,,?
lattigit,tv,imp,sp,1,d,2,s,lattigit,n,,lattigit,son,,lattigit,son,,lattigit,son,,,?
litit,tv,imp,sp,3,d,2,s,litit,n,,litit,son,,litit,son,,litit,son,,,?
lavuk,tv,imp,sp,1,d,3,s,lavuk,n,,lavuk,son,,lavuk,son,,lavuk,son,,,?
tikku,tv,imp,sp,2,d,3,s,tikku,n,,tikku,n,,tikku,n,,tikku,n,,,?
likku,tv,imp,sp,3,d,3,s,likku,n,,likku,son,,likku,son,,likku,son,,,?
tiguk,tv,imp,sp,2,d,1,d,tiguk,n,,tiguk,n,,tiguk,n,,tiguk,n,,,?
litiguk,tv,imp,sp,3,d,1,d,litiguk,n,,litiguk,son,,litiguk,son,,litiguk,son,,,?
lassik,tv,imp,sp,1,d,2,d,lassik,n,,lassik,son,,lassik,son,,lassik,son,,,?
litik,tv,imp,sp,3,d,2,d,litik,n,,litik,son,,litik,son,,litik,son,,,?
laavuk,tv,imp,sp,1,d,3,d,laavuk,n,,laavuk,son,,laavuk,son,,laavuk,son,,,?
tikkik,tv,imp,sp,2,d,3,d,tikkik,n,,tikkik,n,,tikkik,n,,tikkik,n,,,?
likkik,tv,imp,sp,3,d,3,d,likkik,n,,likkik,son,,likkik,son,,likkik,son,,,?
tigut,tv,imp,sp,2,d,1,p,tigut,n,,tigut,n,,tigut,n,,tigut,n,,,?
litigut,tv,imp,sp,3,d,1,p,litigut,n,,litigut,son,,litigut,son,,litigut,son,,,?
lassi,tv,imp,sp,1,d,2,p,lassi,n,,lassi,son,,lassi,son,,lassi,son,,,?
lisi,tv,imp,sp,3,d,2,p,lisi,n,,lisi,son,,lisi,son,,lisi,son,,,?
lavuk,tv,imp,sp,1,d,3,p,lavuk,n,,lavuk,son,,lavuk,son,,lavuk,son,,,?
tikkit,tv,imp,sp,2,d,3,p,tikkit,n,,tikkit,n,,tikkit,n,,tikkit,n,,,?
likkit,tv,imp,sp,3,d,3,p,likkit,n,,likkit,son,,likkit,son,,likkit,son,,,?
singa,tv,imp,sp,2,p,1,s,singa,n,,singa,n,,singa,n,,singa,n,,,?
linga,tv,imp,sp,3,p,1,s,linga,n,,linga,son,,linga,son,,linga,son,,,?
lattigit,tv,imp,sp,1,p,2,s,lattigit,n,,lattigit,son,,lattigit,son,,lattigit,son,,,?
litit,tv,imp,sp,3,p,2,s,litit,n,,litit,son,,litit,son,,litit,son,,,?
lavut,tv,imp,sp,1,p,3,s,lavut,n,,lavut,son,,lavut,son,,lavut,son,,,?
siuk,tv,imp,sp,2,p,3,s,siuk,n,,siuk,n,,siuk,n,,siuk,n,,,?
lijjuk,tv,imp,sp,3,p,3,s,lijjuk,n,,lijjuk,son,,lijjuk,son,,lijjuk,son,,,?
tiguk,tv,imp,sp,2,p,1,d,tiguk,n,,tiguk,n,,tiguk,n,,tiguk,n,,,?
litiguk,tv,imp,sp,3,p,1,d,litiguk,n,,litiguk,son,,litiguk,son,,litiguk,son,,,?
lassik,tv,imp,sp,1,p,2,d,lassik,n,,lassik,son,,lassik,son,,lassik,son,,,?
litik,tv,imp,sp,3,p,2,d,litik,n,,litik,son,,litik,son,,litik,son,,,?
laavut,tv,imp,sp,1,p,3,d,laavut,n,,laavut,son,,laavut,son,,laavut,son,,,?
sikkik,tv,imp,sp,2,p,3,d,sikkik,n,,sikkik,n,,sikkik,n,,sikkik,n,,,?
likkik,tv,imp,sp,3,p,3,d,likkik,n,,likkik,son,,likkik,son,,likkik,son,,,?
tigut,tv,imp,sp,2,p,1,p,tigut,n,,tigut,n,,tigut,n,,tigut,n,,,?
litigut,tv,imp,sp,3,p,1,p,litigut,n,,litigut,son,,litigut,son,,litigut,son,,,?
lassi,tv,imp,sp,1,p,2,p,lassi,n,,lassi,son,,lassi,son,,lassi,son,,,?
lisi,tv,imp,sp,3,p,2,p,lisi,n,,lisi,son,,lisi,son,,lisi,son,,,?
lavut,tv,imp,sp,1,p,3,p,lavut,n,,lavut,son,,lavut,son,,lavut,son,,,?
sigit,tv,imp,sp,2,p,3,p,sigit,n,,sigit,n,,sigit,n,,sigit,n,,,?
ligit,tv,imp,sp,3,p,3,p,ligit,n,,ligit,son,,ligit,son,,ligit,son,,,?
gavinga,tv,caus,sp,2,s,1,s,gavinga gangma,n n,,navinga nangma,a a,,kavinga kangma,n n,,ravinga rangma,fus fus,,,?
gaminga,tv,caus,sp,3,s,1,s,gaminga,n,,naminga,a,,kaminga,n,,raminga,fus,,,?
maanga,tv,caus,sp,4,s,1,s,maanga,i(ng),,maanga,a,,maanga,nas,,maanga,nas,,,?
gapkit,tv,caus,sp,1,s,2,s,gapkit gipkit,n n,,napkit nipkit,a a,,kapkit kipkit,n n,,rapkit ripkit,fus fus,,,?
gamitit,tv,caus,sp,3,s,2,s,gamitit,n,,namitit,a,,kamitit,n,,ramitit,fus,,,?
maatit,tv,caus,sp,4,s,2,s,maatit,i(ng),,maatit,a,,maatit,nas,,maatit,nas,,,?
gapku,tv,caus,sp,1,s,3,s,gapku,n,,napku,a,,kapku,n,,rapku,fus,,,?
gaviuk,tv,caus,sp,2,s,3,s,gaviuk gangni,n n,,naviuk nangni,a a,,kaviuk kangni,n n,,raviuk rangni,fus fus,,,?
gamiuk,tv,caus,sp,3,s,3,s,gamiuk,n,,namiuk,a,,kamiuk,n,,ramiuk,fus,,,?
magu,tv,caus,sp,4,s,3,s,magu,i(ng),,magu,a,,magu,nas,,magu,nas,,,?
gaptiguk,tv,caus,sp,2,s,1,d,gaptiguk,n,,naptiguk,a,,kaptiguk,n,,raptiguk,fus,,,?
gamitiguk,tv,caus,sp,3,s,1,d,gamitiguk,n,,namitiguk,a,,kamitiguk,n,,ramitiguk,fus,,,?
maatiguk,tv,caus,sp,4,s,1,d,maatiguk,i(ng),,maatiguk,a,,maatiguk,nas,,maatiguk,nas,,,?
gassik,tv,caus,sp,1,s,2,d,gassik gattik,n n,,nassik nattik,a a,,kassik kattik,n n,,rassik rattik,fus fus,,,?
gamitik,tv,caus,sp,3,s,2,d,gamitik,n,,namitik,a,,kamitik,n,,ramitik,fus,,,?
maatik,tv,caus,sp,4,s,2,d,maatik,i(ng),,maatik,a,,maatik,nas,,maatik,nas,,,?
gakkik,tv,caus,sp,1,s,3,d,gakkik,n,,nakkik,a,,kakkik,n,,rakkik,fus,,,?
gavigik,tv,caus,sp,2,s,3,d,gavigik gangni,n n,,navigik nangni,a a,,kavigik kangni,n n,,ravigik rangni,fus fus,,,?
gamigik,tv,caus,sp,3,s,3,d,gamigik,n,,namigik,a,,kamigik,n,,ramigik,fus,,,?
magik,tv,caus,sp,4,s,3,d,magik,i(ng),,magik,a,,magik,nas,,magik,nas,,,?
gaptigut,tv,caus,sp,2,s,1,p,gaptigut,n,,naptigut,a,,kaptigut,n,,raptigut,fus,,,?
gamitigut,tv,caus,sp,3,s,1,p,gamitigut,n,,namitigut,a,,kamitigut,n,,ramitigut,fus,,,?
maatigut,tv,caus,sp,4,s,1,p,maatigut,i(ng),,maatigut,a,,maatigut,nas,,maatigut,nas,,,?
gapsi,tv,caus,sp,1,s,2,p,gapsi,n,,napsi,a,,kapsi,n,,rapsi,fus,,,?
gamisi,tv,caus,sp,3,s,2,p,gamisi,n,,namisi,a,,kamisi,n,,ramisi,fus,,,?
maasi,tv,caus,sp,4,s,2,p,maasi,i(ng),,maasi,a,,maasi,nas,,maasi,nas,,,?
gapkit,tv,caus,sp,1,s,3,p,gapkit,n,,napkit,a,,kapkit,n,,rapkit,fus,,,?
gavigit,tv,caus,sp,2,s,3,p,gavigit gangni,n n,,navigit nangni,a a,,kavigit kangni,n n,,ravigit rangni,fus fus,,,?
gamigit,tv,caus,sp,3,s,3,p,gamigit,n,,namigit,a,,kamigit,n,,ramigit,fus,,,?
magit,tv,caus,sp,4,s,3,p,magit,i(ng),,magit,a,,magit,nas,,magit,nas,,,?
gattinga,tv,caus,sp,2,d,1,s,gattinga,n,,nattinga,a,,kattinga,n,,rattinga,fus,,,?
gaminga,tv,caus,sp,3,d,1,s,gaminga,n,,naminga,a,,kaminga,n,,raminga,fus,,,?
maanga,tv,caus,sp,4,d,1,s,maanga,i(ng),,maanga,a,,maanga,nas,,maanga,nas,,,?
gaptigit,tv,caus,sp,1,d,2,s,gaptigit,n,,naptigit,a,,kaptigit,n,,raptigit,fus,,,?
gamitit,tv,caus,sp,3,d,2,s,gamitit,n,,namitit,a,,kamitit,n,,ramitit,fus,,,?
maatit,tv,caus,sp,4,d,2,s,maatit,i(ng),,maatit,a,,maatit,nas,,maatit,nas,,,?
gaptigu,tv,caus,sp,1,d,3,s,gaptigu,n,,naptigu,a,,kaptigu,n,,raptigu,fus,,,?
gattiku,tv,caus,sp,2,d,3,s,gattiku,n,,nattiku,a,,kattiku,n,,rattiku,fus,,,?
gamikku,tv,caus,sp,3,d,3,s,gamikku,n,,namikku,a,,kamikku,n,,ramikku,fus,,,?
makku,tv,caus,sp,4,d,3,s,makku,i(ng),,makku,a,,makku,nas,,makku,nas,,,?
gattiguk,tv,caus,sp,2,d,1,d,gattiguk,n,,nattiguk,a,,kattiguk,n,,rattiguk,fus,,,?
gamitiguk,tv,caus,sp,3,d,1,d,gamitiguk,n,,namitiguk,a,,kamitiguk,n,,ramitiguk,fus,,,?
maatiguk,tv,caus,sp,4,d,1,d,maatiguk,i(ng),,maatiguk,a,,maatiguk,nas,,maatiguk,nas,,,?
gassik,tv,caus,sp,1,d,2,d,gassik gattik,n n,,nassik nattik,a a,,kassik kattik,n n,,rassik rattik,fus fus,,,?
gamitik,tv,caus,sp,3,d,2,d,gamitik,n,,namitik,a,,kamitik,n,,ramitik,fus,,,?
maatik,tv,caus,sp,4,d,2,d,maatik,i(ng),,maatik,a,,maatik,nas,,maatik,nas,,,?
gaptigik,tv,caus,sp,1,d,3,d,gaptigik,n,,naptigik,a,,kaptigik,n,,raptigik,fus,,,?
gattikik,tv,caus,sp,2,d,3,d,gattikik,n,,nattikik,a,,kattikik,n,,rattikik,fus,,,?
gamikkik,tv,caus,sp,3,d,3,d,gamikkik,n,,namikkik,a,,kamikkik,n,,ramikkik,fus,,,?
makkik,tv,caus,sp,4,d,3,d,makkik,i(ng),,makkik,a,,makkik,nas,,makkik,nas,,,?
gattigut,tv,caus,sp,2,d,1,p,gattigut,n,,nattigut,a,,kattigut,n,,rattigut,fus,,,?
gamitigut,tv,caus,sp,3,d,1,p,gamitigut,n,,namitigut,a,,kamitigut,n,,ramitigut,fus,,,?
maatigut,tv,caus,sp,4,d,1,p,maatigut,i(ng),,maatigut,a,,maatigut,nas,,maatigut,nas,,,?
gapsi,tv,caus,sp,1,d,2,p,gapsi,n,,napsi,a,,kapsi,n,,rapsi,fus,,,?
gamisi,tv,caus,sp,3,d,2,p,gamisi,n,,namisi,a,,kamisi,n,,ramisi,fus,,,?
maasi,tv,caus,sp,4,d,2,p,maasi,i(ng),,maasi,a,,maasi,nas,,maasi,nas,,,?
gaptigit,tv,caus,sp,1,d,3,p,gaptigit,n,,naptigit,a,,kaptigit,n,,raptigit,fus,,,?
gattikit,tv,caus,sp,2,d,3,p,gattikit,n,,nattikit,a,,kattikit,n,,rattikit,fus,,,?
gamikkit,tv,caus,sp,3,d,3,p,gamikkit,n,,namikkit,a,,kamikkit,n,,ramikkit,fus,,,?
makkit,tv,caus,sp,4,d,3,p,makkit,i(ng),,makkit,a,,makkit,nas,,makkit,nas,,,?
gapsinga,tv,caus,sp,2,p,1,s,gapsinga,n,,napsinga,a,,kapsinga,n,,rapsinga,fus,,,?
gaminga,tv,caus,sp,3,p,1,s,gaminga,n,,naminga,a,,kaminga,n,,raminga,fus,,,?
maanga,tv,caus,sp,4,p,1,s,maanga,i(ng),,maanga,a,,maanga,nas,,maanga,nas,,,?
gaptigit,tv,caus,sp,1,p,2,s,gaptigit,n,,naptigit,a,,kaptigit,n,,raptigit,fus,,,?
gamitit,tv,caus,sp,3,p,2,s,gamitit,n,,namitit,a,,kamitit,n,,ramitit,fus,,,?
maatit,tv,caus,sp,4,p,2,s,maatit,i(ng),,maatit,a,,maatit,nas,,maatit,nas,,,?
gaptigu,tv,caus,sp,1,p,3,s,gaptigu,n,,naptigu,a,,kaptigu,n,,raptigu,fus,,,?
gapsiuk,tv,caus,sp,2,p,3,s,gapsiuk,n,,napsiuk,a,,kapsiuk,n,,rapsiuk,fus,,,?
gamijjuk,tv,caus,sp,3,p,3,s,gamijjuk gamiku,n n,,namijjuk namiku,a a,,kamijjuk kamiku,n n,,ramijjuk ramiku,fus fus,,,?
magjuk,tv,caus,sp,4,p,3,s,magjuk,i(ng),,magjuk,a,,magjuk,nas,,magjuk,nas,,,?
gaptiguk,tv,caus,sp,2,p,1,d,gaptiguk,n,,naptiguk,a,,kaptiguk,n,,raptiguk,fus,,,?
gamitiguk,tv,caus,sp,3,p,1,d,gamitiguk,n,,namitiguk,a,,kamitiguk,n,,ramitiguk,fus,,,?
maatiguk,tv,caus,sp,4,p,1,d,maatiguk,i(ng),,maatiguk,a,,maatiguk,nas,,maatiguk,nas,,,?
gassik,tv,caus,sp,1,p,2,d,gassik gattik,n n,,nassik nattik,a a,,kassik kattik,n n,,rassik rattik,fus fus,,,?
gamitik,tv,caus,sp,3,p,2,d,gamitik,n,,namitik,a,,kamitik,n,,ramitik,fus,,,?
maatik,tv,caus,sp,4,p,2,d,maatik,i(ng),,maatik,a,,maatik,nas,,maatik,nas,,,?
gaptigik,tv,caus,sp,1,p,3,d,gaptigik,n,,naptigik,a,,kaptigik,n,,raptigik,fus,,,?
gapsigik,tv,caus,sp,2,p,3,d,gapsigik,n,,napsigik,a,,kapsigik,n,,rapsigik,fus,,,?
gamigik,tv,caus,sp,3,p,3,d,gamigik,n,,namigik,a,,kamigik,n,,ramigik,fus,,,?
magik,tv,caus,sp,4,p,3,d,magik,i(ng),,magik,a,,magik,nas,,magik,nas,,,?
gaptigut,tv,caus,sp,2,p,1,p,gaptigut,n,,naptigut,a,,kaptigut,n,,raptigut,fus,,,?
gamitigut,tv,caus,sp,3,p,1,p,gamitigut,n,,namitigut,a,,kamitigut,n,,ramitigut,fus,,,?
maatigut,tv,caus,sp,4,p,1,p,maatigut,i(ng),,maatigut,a,,maatigut,nas,,maatigut,nas,,,?
gapsi,tv,caus,sp,1,p,2,p,gapsi,n,,napsi,a,,kapsi,n,,rapsi,fus,,,?
gamisi,tv,caus,sp,3,p,2,p,gamisi,n,,namisi,a,,kamisi,n,,ramisi,fus,,,?
maasi,tv,caus,sp,4,p,2,p,maasi,i(ng),,maasi,a,,maasi,nas,,maasi,nas,,,?
gaptigit,tv,caus,sp,1,p,3,p,gaptigit,n,,naptigit,a,,kaptigit,n,,raptigit,fus,,,?
gapsigit,tv,caus,sp,2,p,3,p,gapsigit,n,,napsigit,a,,kapsigit,n,,rapsigit,fus,,,?
gamigit,tv,caus,sp,3,p,3,p,gamigit,n,,namigit,a,,kamigit,n,,ramigit,fus,,,?
magit,tv,caus,sp,4,p,3,p,magit,i(ng),,magit,a,,magit,nas,,magit,nas,,,?
guvinga,tv,cond,sp,2,s,1,s,guvinga gungma,n n,,kuvinga kungma,a a,,kuvinga kungma,n n,,ruvinga rungma,fus fus,,,?
guninga,tv,cond,sp,3,s,1,s,guninga,n,,kuninga,a,,kuninga,n,,runinga,fus,,,?
paanga,tv,cond,sp,4,s,1,s,paanga,i(k),,paanga,a,,paanga,n,,paanga,n,,,?
gupkit,tv,cond,sp,1,s,2,s,gupkit,n,,kupkit,a,,kupkit,n,,rupkit,fus,,,?
gunitit,tv,cond,sp,3,s,2,s,gunitit,n,,kunitit,a,,kunitit,n,,runitit,fus,,,?
paatit,tv,cond,sp,4,s,2,s,paatit,i(k),,paatit,a,,paatit,n,,paatit,n,,,?
gupku,tv,cond,sp,1,s,3,s,gupku,n,,kupku,a,,kupku,n,,rupku,fus,,,?
guviuk,tv,cond,sp,2,s,3,s,guviuk gungni,n n,,kuviuk kungni,a a,,kuviuk kungni,n n,,ruviuk rungni,fus fus,,,?
guniuk,tv,cond,sp,3,s,3,s,guniuk,n,,kuniuk,a,,kuniuk,n,,runiuk,fus,,,?
pagu,tv,cond,sp,4,s,3,s,pagu,i(k),,pagu,a,,pagu,n,,pagu,n,,,?
guptiguk,tv,cond,sp,2,s,1,d,guptiguk,n,,kuptiguk,a,,kuptiguk,n,,ruptiguk,fus,,,?
gunitiguk,tv,cond,sp,3,s,1,d,gunitiguk,n,,kunitiguk,a,,kunitiguk,n,,runitiguk,fus,,,?
paatiguk,tv,cond,sp,4,s,1,d,paatiguk,i(k),,paatiguk,a,,paatiguk,n,,paatiguk,n,,,?
gussik,tv,cond,sp,1,s,2,d,gussik guttik,n n,,kussik kuttik,a a,,kussik kuttik,n n,,russik ruttik,fus fus,,,?
gunitik,tv,cond,sp,3,s,2,d,gunitik,n,,kunitik,a,,kunitik,n,,runitik,fus,,,?
paatik,tv,cond,sp,4,s,2,d,paatik,i(k),,paatik,a,,paatik,n,,paatik,n,,,?
gukkik,tv,cond,sp,1,s,3,d,gukkik,n,,kukkik,a,,kukkik,n,,rukkik,fus,,,?
guvigik,tv,cond,sp,2,s,3,d,guvigik gungni,n n,,kuvigik kungni,a a,,kuvigik kungni,n n,,ruvigik rungni,fus fus,,,?
gunigik,tv,cond,sp,3,s,3,d,gunigik,n,,kunigik,a,,kunigik,n,,runigik,fus,,,?
pagik,tv,cond,sp,4,s,3,d,pagik,i(k),,pagik,a,,pagik,n,,pagik,n,,,?
guttigut,tv,cond,sp,2,s,1,p,guttigut,n,,kuttigut,a,,kuttigut,n,,ruttigut,fus,,,?
gunitigut,tv,cond,sp,3,s,1,p,gunitigut,n,,kunitigut,a,,kunitigut,n,,runitigut,fus,,,?
paatigut,tv,cond,sp,4,s,1,p,paatigut,i(k),,paatigut,a,,paatigut,n,,paatigut,n,,,?
gupsi,tv,cond,sp,1,s,2,p,gupsi,n,,kupsi,a,,kupsi,n,,rupsi,fus,,,?
gunisi,tv,cond,sp,3,s,2,p,gunisi,n,,kunisi,a,,kunisi,n,,runisi,fus,,,?
paasi,tv,cond,sp,4,s,2,p,paasi,i(k),,paasi,a,,paasi,n,,paasi,n,,,?
gupkit,tv,cond,sp,1,s,3,p,gupkit,n,,kupkit,a,,kupkit,n,,rupkit,fus,,,?
guvigit,tv,cond,sp,2,s,3,p,guvigit gungni,n n,,kuvigit kungni,a a,,kuvigit kungni,n n,,ruvigit rungni,fus fus,,,?
gunigit,tv,cond,sp,3,s,3,p,gunigit,n,,kunigit,a,,kunigit,n,,runigit,fus,,,?
pagit,tv,cond,sp,4,s,3,p,pagit,i(k),,pagit,a,,pagit,n,,pagit,n,,,?
guttinga,tv,cond,sp,2,d,1,s,guttinga,n,,kuttinga,a,,kuttinga,n,,ruttinga,fus,,,?
guninga,tv,cond,sp,3,d,1,s,guninga,n,,kuninga,a,,kuninga,n,,runinga,fus,,,?
paanga,tv,cond,sp,4,d,1,s,paanga,i(k),,paanga,a,,paanga,n,,paanga,n,,,?
guptigit,tv,cond,sp,1,d,2,s,guptigit,n,,kuptigit,a,,kuptigit,n,,ruptigit,fus,,,?
gunitit,tv,cond,sp,3,d,2,s,gunitit,n,,kunitit,a,,kunitit,n,,runitit,fus,,,?
paatit,tv,cond,sp,4,d,2,s,paatit,i(k),,paatit,a,,paatit,n,,paatit,n,,,?
guptigu,tv,cond,sp,1,d,3,s,guptigu,n,,kuptigu,a,,kuptigu,n,,ruptigu,fus,,,?
guttiku,tv,cond,sp,2,d,3,s,guttiku,n,,kuttiku,a,,kuttiku,n,,ruttiku,fus,,,?
gunikku,tv,cond,sp,3,d,3,s,gunikku,n,,kunikku,a,,kunikku,n,,runikku,fus,,,?
pakku,tv,cond,sp,4,d,3,s,pakku,i(k),,pakku,a,,pakku,n,,pakku,n,,,?
guttiguk,tv,cond,sp,2,d,1,d,guttiguk,n,,kuttiguk,a,,kuttiguk,n,,ruttiguk,fus,,,?
gunitiguk,tv,cond,sp,3,d,1,d,gunitiguk,n,,kunitiguk,a,,kunitiguk,n,,runitiguk,fus,,,?
