morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
lunisi,tv,part,oui,pos,prespas,North Baffin,sp,3,p,2,p,lunisi,i(l),,&unisi &unisi,a n,,&unisi,n,,&unisi,n,,,?
lusi,tv,part,oui,pos,prespas,North Baffin,sp,4,p,2,p,lusi,i(l),,&usi &usi,a n,,&usi,n,,&usi,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,1,p,3,p,lugit,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,2,p,3,p,lugit,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lunigit,tv,part,oui,pos,prespas,North Baffin,sp,3,p,3,p,lunigit,i(l),,&unigit &unigit,a n,,&unigit,n,,&unigit,n,,,?
lugit,tv,part,oui,pos,prespas,North Baffin,sp,4,p,3,p,lugit,i(l),,&ugit &ugit,a n,,&ugit,n,,&ugit,n,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,1,s,lunga,n,,lunga,son,,lunga,son,,lunga,son,,,?
luninga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,1,s,luninga,n,,luninga,son,,luninga,son,,luninga,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,1,s,lunga,n,,lunga,son,,lunga,son,,lunga,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,2,s,lutit,n,,lutit,son,,lutit,son,,lutit,son,,,?
lunitit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,2,s,lunitit,n,,lunitit,son,,lunitit,son,,lunitit,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,2,s,lutit,n,,lutit,son,,lutit,son,,lutit,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,s,2,p,lusi,i(l),,tusi,n,,tusi,n,,tusi,n,,,?
lunisi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,2,p,lunisi,i(l),,tunisi,n,,tunisi,n,,tunisi,n,,,?
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,2,p,lusi,i(l),,tusi,n,,tusi,n,,tusi,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,s,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
luniuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,3,s,luniuk,n,,luniuk,son,,luniuk,son,,luniuk,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,1,d,lunuk,n,,lunuk,son,,lunuk,son,,lunuk,son,,,?
lunitiguk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,1,d,lunitiguk,n,,lunitiguk,son,,lunitiguk,son,,lunitiguk,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,1,d,lunuk,n,,lunuk,son,,lunuk,son,,lunuk,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,2,d,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,?
lunitik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,2,d,lunitik,n,,lunitik,son,,lunitik,son,,lunitik,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,2,d,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
lunigik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,3,d,lunigik,n,,lunigik,son,,lunigik,son,,lunigik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,1,p,luta,n,,luta,son,,luta,son,,luta,son,,,?
lunitigut,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,1,p,lunitigut,n,,lunitigut,son,,lunitigut,son,,lunitigut,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,1,p,luta,n,,luta,son,,luta,son,,luta,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,2,p,lusi,n,,lusi,son,,lusi,son,,lusi,son,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,s,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
lunigit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,s,3,p,lunigit,i(l),,tunigit,n,,tunigit,n,,tunigit,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,s,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,1,s,lunga,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
luninga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,1,s,luninga,i(l),,tuninga,n,,tuninga,n,,tuninga,n,,,?
lunisi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,2,p,lunisi,n,,lunisi,son,,lunisi,son,,lunisi,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,2,p,lusi,n,,lusi,son,,lusi,son,,lusi,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,s,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,s,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lunigit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,s,3,p,lunigit,n,,lunigit,son,,lunigit,son,,lunigit,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,s,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,1,s,lunga,n,,lunga,son,,lunga,son,,lunga,son,,,?
luninga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,1,s,luninga,n,,luninga,son,,luninga,son,,luninga,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,1,s,lunga,n,,lunga,son,,lunga,son,,lunga,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,2,s,lutit,n,,lutit,son,,lutit,son,,lutit,son,,,?
lunitit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,2,s,lunitit,n,,lunitit,son,,lunitit,son,,lunitit,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,2,s,lutit,n,,lutit,son,,lutit,son,,lutit,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lunikku,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,3,s,lunikku,n,,lunikku,son,,lunikku,son,,lunikku,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lunga,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,1,s,lunga,i(l),,tunga,n,,tunga,n,,tunga,n,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,2,s,lutit,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lunitit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,2,s,lunitit,i(l),,tunitit,n,,tunitit,n,,tunitit,n,,,?
lutit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,2,s,lutit,i(l),,tutit,n,,tutit,n,,tutit,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,1,d,lunuk,n,,lunuk,son,,lunuk,son,,lunuk,son,,,?
lunitiguk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,1,d,lunitiguk,n,,lunitiguk,son,,lunitiguk,son,,lunitiguk,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,1,d,lunuk,n,,lunuk,son,,lunuk,son,,lunuk,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,2,d,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,?
lunitik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,2,d,lunitik,n,,lunitik,son,,lunitik,son,,lunitik,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,2,d,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
lunikkik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,3,d,lunikkik,n,,lunikkik,son,,lunikkik,son,,lunikkik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,1,p,luta,n,,luta,son,,luta,son,,luta,son,,,?
lunitigut,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,1,p,lunitigut,n,,lunitigut,son,,lunitigut,son,,lunitigut,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,1,p,luta,n,,luta,son,,luta,son,,luta,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,2,p,lusi,n,,lusi,son,,lusi,son,,lusi,son,,,?
lunisi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,2,p,lunisi,n,,lunisi,son,,lunisi,son,,lunisi,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,2,p,lusi,n,,lusi,son,,lusi,son,,lusi,son,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunikku,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,3,s,lunikku,i(l),,tunikku,n,,tunikku,n,,tunikku,n,,,?
lugu,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,3,s,lugu,i(l),,tugu,n,,tugu,n,,tugu,n,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,1,d,lunuk,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
lunitiguk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,1,d,lunitiguk,i(l),,tunitiguk,n,,tunitiguk,n,,tunitiguk,n,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,d,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,d,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lunikkit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,d,3,p,lunikkit,n,,lunikkit,son,,lunikkit,son,,lunikkit,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,d,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,1,s,lunga,n,,lunga,son,,lunga,son,,lunga,son,,,?
luninga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,1,s,luninga,n,,luninga,son,,luninga,son,,luninga,son,,,?
lunga,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,1,s,lunga,n,,lunga,son,,lunga,son,,lunga,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,2,s,lutit,n,,lutit,son,,lutit,son,,lutit,son,,,?
lunitit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,2,s,lunitit,n,,lunitit,son,,lunitit,son,,lunitit,son,,,?
lutit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,2,s,lutit,n,,lutit,son,,lutit,son,,lutit,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lunijjuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,3,s,lunijjuk,n,,lunijjuk,son,,lunijjuk,son,,lunijjuk,son,,,?
lugu,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,3,s,lugu,n,,lugu,son,,lugu,son,,lugu,son,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,1,d,lunuk,n,,lunuk,son,,lunuk,son,,lunuk,son,,,?
lunitiguk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,1,d,lunitiguk,n,,lunitiguk,son,,lunitiguk,son,,lunitiguk,son,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,1,d,lunuk,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,2,d,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
lunitik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,2,d,lunitik,i(l),,tunitik,n,,tunitik,n,,tunitik,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,2,d,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,3,d,lugik,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
lunuk,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,1,d,lunuk,n,,lunuk,son,,lunuk,son,,lunuk,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,2,d,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,?
lunitik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,2,d,lunitik,n,,lunitik,son,,lunitik,son,,lunitik,son,,,?
lutik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,2,d,lutik,n,,lutik,son,,lutik,son,,lutik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
lunigik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,3,d,lunigik,n,,lunigik,son,,lunigik,son,,lunigik,son,,,?
lugik,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,3,d,lugik,n,,lugik,son,,lugik,son,,lugik,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,1,p,luta,n,,luta,son,,luta,son,,luta,son,,,?
lunitigut,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,1,p,lunitigut,n,,lunitigut,son,,lunitigut,son,,lunitigut,son,,,?
luta,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,1,p,luta,n,,luta,son,,luta,son,,luta,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,2,p,lusi,n,,lusi,son,,lusi,son,,lusi,son,,,?
lunisi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,2,p,lunisi,n,,lunisi,son,,lunisi,son,,lunisi,son,,,?
lusi,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,2,p,lusi,n,,lusi,son,,lusi,son,,lusi,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,1,p,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,2,p,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,3,d,lugik,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
lunikkik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,3,d,lunikkik,i(l),,tunikkik,n,,tunikkik,n,,tunikkik,n,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,3,d,lugik,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,d,1,p,luta,i(l),,tuta,n,,tuta,n,,tuta,n,,,?
lunigit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,3,p,3,p,lunigit,n,,lunigit,son,,lunigit,son,,lunigit,son,,,?
lugit,tv,part,oui,pos,fut,"North Baffin, Cumberland Peninsula",sp,4,p,3,p,lugit,n,,lugit,son,,lugit,son,,lugit,son,,,?
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,s,1,s,tillunga,n,,tillunga tillunga,n s,,tillunga,n,,tillunga,son,,,?
tilluninga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,1,s,tilluninga,n,,tilluninga tilluninga,n s,,tilluninga,n,,tilluninga,son,,,?
tillunga,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,1,s,tillunga,n,,tillunga tillunga,n s,,tillunga,n,,tillunga,son,,,?
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,s,2,s,tillutit,n,,tillutit tillutit,n s,,tillutit,n,,tillutit,son,,,?
tillunitit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,2,s,tillunitit,n,,tillunitit tillunitit,n s,,tillunitit,n,,tillunitit,son,,,?
tillutit,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,2,s,tillutit,n,,tillutit tillutit,n s,,tillutit,n,,tillutit,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,s,3,s,tillugu,n,,tillugu tillugu,n s,,tillugu,n,,tillugu,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,s,3,s,tillugu,n,,tillugu tillugu,n s,,tillugu,n,,tillugu,son,,,?
tilluniuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,3,s,tilluniuk,n,,tilluniuk tilluniuk,n s,,tilluniuk,n,,tilluniuk,son,,,?
tillugu,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,3,s,tillugu,n,,tillugu tillugu,n s,,tillugu,n,,tillugu,son,,,?
tillunuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,s,1,d,tillunuk,n,,tillunuk tillunuk,n s,,tillunuk,n,,tillunuk,son,,,?
tillunitiguk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,1,d,tillunitiguk,n,,tillunitiguk tillunitiguk,n s,,tillunitiguk,n,,tillunitiguk,son,,,?
tillunuk,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,1,d,tillunuk,n,,tillunuk tillunuk,n s,,tillunuk,n,,tillunuk,son,,,?
tillutik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,s,2,d,tillutik,n,,tillutik tillutik,n s,,tillutik,n,,tillutik,son,,,?
tillunitik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,2,d,tillunitik,n,,tillunitik tillunitik,n s,,tillunitik,n,,tillunitik,son,,,?
lunitigut,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,d,1,p,lunitigut,i(l),,tunitigut,n,,tunitigut,n,,tunitigut,n,,,?
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,d,1,p,luta,i(l),,tuta,n,,tuta,n,,tuta,n,,,?
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,d,2,p,lusi,i(l),,tusi,n,,tusi,n,,tusi,n,,,?
tillutik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,2,d,tillutik,n,,tillutik tillutik,n s,,tillutik,n,,tillutik,son,,,?
tillugik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,s,3,d,tillugik,n,,tillugik tillugik,n s,,tillugik,n,,tillugik,son,,,?
tillugik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,s,3,d,tillugik,n,,tillugik tillugik,n s,,tillugik,n,,tillugik,son,,,?
tillunigik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,3,d,tillunigik,n,,tillunigik tillunigik,n s,,tillunigik,n,,tillunigik,son,,,?
tillugik,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,3,d,tillugik,n,,tillugik tillugik,n s,,tillugik,n,,tillugik,son,,,?
tilluta,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,2,s,1,p,tilluta,n,,tilluta tilluta,n s,,tilluta,n,,tilluta,son,,,?
tillunitigut,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,1,p,tillunitigut,n,,tillunitigut tillunitigut,n s,,tillunitigut,n,,tillunitigut,son,,,?
tilluta,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,4,s,1,p,tilluta,n,,tilluta tilluta,n s,,tilluta,n,,tilluta,son,,,?
tillusi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,1,s,2,p,tillusi,n,,tillusi tillusi,n s,,tillusi,n,,tillusi,son,,,?
tillunisi,tv,part,non,pos,,"North Baffin, Cumberland Peninsula",sp,3,s,2,p,tillunisi,n,,tillunisi tillunisi,n s,,tillunisi,n,,tillunisi,son,,,?
