morpheme,type,mode,sameSubject,posneg,tense,dialect,specificity,perSubject,numbSubject,perObject,numbObject,V-form,V-action1,V-action2,t-form,t-action1,t-action2,k-form,k-action1,k-action2,q-form,q-action1,q-action2,condPrecSpecific,sources
tinnanisi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,2,p,tinnanisi,n,,tinnanisi tinnanisi,n s,,tinnanisi,n,,tinnanisi,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanikkit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,3,p,tinnanikkit,n,,tinnanikkit tinnanikkit,n s,,tinnanikkit,n,,tinnanikkit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
tinnaninga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,s,tinnaninga,n,,tinnaninga tinnaninga,n s,,tinnaninga,n,,tinnaninga,son,,,?
tinnanga,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,s,tinnanga,n,,tinnanga tinnanga,n s,,tinnanga,n,,tinnanga,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
lunitiguk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,1,d,lunitiguk,i(l),,tunitiguk,n,,tunitiguk,n,,tunitiguk,n,,,?
lunuk,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,1,d,lunuk,i(l),,tunuk,n,,tunuk,n,,tunuk,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,2,d,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
tinnanitit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,s,tinnanitit,n,,tinnanitit tinnanitit,n s,,tinnanitit,n,,tinnanitit,son,,,?
tinnak,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,s,tinnak,n,,tinnak tinnak,n s,,tinnak,n,,tinnak,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnanijjuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,s,tinnanijjuk,n,,tinnanijjuk tinnanijjuk,n s,,tinnanijjuk,n,,tinnanijjuk,son,,,?
tinnagu,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,s,tinnagu,n,,tinnagu tinnagu,n s,,tinnagu,n,,tinnagu,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnanitiguk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,d,tinnanitiguk,n,,tinnanitiguk tinnanitiguk,n s,,tinnanitiguk,n,,tinnanitiguk,son,,,?
tinnanuk,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,d,tinnanuk,n,,tinnanuk tinnanuk,n s,,tinnanuk,n,,tinnanuk,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
tinnanitik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,d,tinnanitik,n,,tinnanitik tinnanitik,n s,,tinnanitik,n,,tinnanitik,son,,,?
tinnatik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,d,tinnatik,n,,tinnatik tinnatik,n s,,tinnatik,n,,tinnatik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnanigik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,d,tinnanigik,n,,tinnanigik tinnanigik,n s,,tinnanigik,n,,tinnanigik,son,,,?
tinnagik,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,d,tinnagik,n,,tinnagik tinnagik,n s,,tinnagik,n,,tinnagik,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
lunitik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,2,d,lunitik,i(l),,tunitik,n,,tunitik,n,,tunitik,n,,,?
lutik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,2,d,lutik,i(l),,tutik,n,,tutik,n,,tutik,n,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,3,d,lugik,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
tinnanitigut,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,p,tinnanitigut,n,,tinnanitigut tinnanitigut,n s,,tinnanitigut,n,,tinnanitigut,son,,,?
tinnata,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,p,tinnata,n,,tinnata tinnata,n s,,tinnata,n,,tinnata,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnanisi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,p,tinnanisi,n,,tinnanisi tinnanisi,n s,,tinnanisi,n,,tinnanisi,son,,,?
tinnasi,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,p,tinnasi,n,,tinnasi tinnasi,n s,,tinnasi,n,,tinnasi,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
tinnanigit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,p,tinnanigit,n,,tinnanigit tinnanigit,n s,,tinnanigit,n,,tinnanigit,son,,,?
tinnagit,tv,part,non,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,p,tinnagit,n,,tinnagit tinnagit,n s,,tinnagit,n,,tinnagit,son,,,?
nanga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,1,s,nanga,n,,nanga,nas,,nanga ranga,nas fus,,nanga,son,,,?
naninga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,1,s,naninga,n,,naninga,nas,,naninga raninga,nas fus,,naninga,son,,,?
nanga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,1,s,nanga,n,,nanga,nas,,nanga nanga,nas fus,,nanga,son,,,?
nak,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,2,s,nak,n,,nak,nas,,nak rak,nas fus,,nak,son,,,?
nanitit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,2,s,nanitit,n,,nanitit,nas,,nanitit ranitit,nas fus,,nanitit,son,,,?
nak,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,2,s,nak,n,,nak,nas,,nak rak,nas fus,,nak,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,p,3,d,lugik,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
lunigik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,3,d,lunigik,i(l),,tunigik,n,,tunigik,n,,tunigik,n,,,?
naniuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,3,s,naniuk,n,,naniuk,nas,,naniuk raniuk,nas fus,,naniuk,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nanuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,1,d,nanuk,n,,nanuk,nas,,nanuk ranuk,nas fus,,nanuk,son,,,?
nanitiguk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,1,d,nanitiguk,n,,nanitiguk,nas,,nanitiguk ranitiguk,nas fus,,nanitiguk,son,,,?
nanuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,1,d,nanuk,n,,nanuk,nas,,nanuk ranuk,nas fus,,nanuk,son,,,?
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,2,d,natik,n,,natik,nas,,natik ratik,nas fus,,natik,son,,,?
nanitik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,2,d,nanitik,n,,nanitik,nas,,nanitik ranitik,nas fus,,nanitik,son,,,?
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,2,d,natik,n,,natik,nas,,natik ratik,nas fus,,natik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nanigik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,3,d,nanigik,n,,nanigik,nas,,nanigik ranigik,nas fus,,nanigik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nata,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,1,p,nata,n,,nata,nas,,nata rata,nas fus,,nata,son,,,?
nanitigut,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,1,p,nanitigut,n,,nanitigut,nas,,nanitigut ranitigut,nas fus,,nanitigut,son,,,?
nata,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,1,p,nata,n,,nata,nas,,nata rata,nas fus,,nata,son,,,?
nasi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,2,p,nasi,n,,nasi,nas,,nasi rasi,nas fus,,nasi,son,,,?
nanisi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,2,p,nanisi,n,,nanisi,nas,,nanisi ranisi,nas fus,,nanisi,son,,,?
lugik,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,3,d,lugik,i(l),,tugik,n,,tugik,n,,tugik,n,,,?
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,p,1,p,luta,i(l),,tuta,n,,tuta,n,,tuta,n,,,?
nasi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,2,p,nasi,n,,nasi,nas,,nasi rasi,nas fus,,nasi,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,s,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,s,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nanigit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,s,3,p,nanigit,n,,nanigit,nas,,nanigit ranigit,nas fus,,nanigit,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,s,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nanga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,1,s,nanga,n,,nanga,nas,,nanga ranga,nas fus,,nanga,son,,,?
naninga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,1,s,naninga,n,,naninga,nas,,naninga raninga,nas fus,,naninga,son,,,?
nanga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,1,s,nanga,n,,nanga,nas,,nanga ranga,nas fus,,nanga,son,,,?
nak,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,2,s,nak,n,,nak,nas,,nak rak,nas fus,,nak,son,,,?
nanitit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,2,s,nanitit,n,,nanitit,nas,,nanitit ranitit,nas fus,,nanitit,son,,,?
nak,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,2,s,nak,n,,nak,nas,,nak rak,nas fus,,nak,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nanikku,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,3,s,nanikku,n,,nanikku,nas,,nanikku ranikku,nas fus,,nanikku,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nanuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,1,d,nanuk,n,,nanuk,nas,,nanuk ranuk,nas fus,,nanuk,son,,,?
nanitiguk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,1,d,nanitiguk,n,,nanitiguk,nas,,nanitiguk ranitiguk,nas fus,,nanitiguk,son,,,?
lunitigut,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,1,p,lunitigut,i(l),,tunitigut,n,,tunitigut,n,,tunitigut,n,,,?
luta,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,1,p,luta,i(l),,tuta,n,,tuta,n,,tuta,n,,,?
nanuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,1,d,nanuk,n,,nanuk,nas,,nanuk ranuk,nas fus,,nanuk,son,,,?
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,2,d,natik,n,,natik,nas,,natik ratik,nas fus,,natik,son,,,?
nanitik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,2,d,nanitik,n,,nanitik,nas,,nanitik ranitik,nas fus,,nanitik,son,,,?
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,2,d,natik,n,,natik,nas,,natik ratik,nas fus,,natik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nanikkik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,3,d,nanikkik,n,,nanikkik,nas,,nanikkik ranikkik,nas fus,,nanikkik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nata,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,1,p,nata,n,,nata,nas,,nata rata,nas fus,,nata,son,,,?
nanitigut,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,1,p,nanitigut,n,,nanitigut,nas,,nanitigut ranitigut,nas fus,,nanitigut,son,,,?
nata,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,1,p,nata,n,,nata,nas,,nata rata,nas fus,,nata,son,,,?
nasi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,2,p,nasi,n,,nasi,nas,,nasi rasi,nas fus,,nasi,son,,,?
nanisi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,2,p,nanisi,n,,nanisi,nas,,nanisi ranisi,nas fus,,nanisi,son,,,?
nasi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,2,p,nasi,n,,nasi,nas,,nasi rasi,nas fus,,nasi,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,d,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,d,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nanikkit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,d,3,p,nanikkit,n,,nanikkit,nas,,nanikkit ranikkit,nas fus,,nanikkit,son,,,?
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,2,p,lusi,i(l),,tusi,n,,tusi,n,,tusi,n,,,?
lunisi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,2,p,lunisi,i(l),,tunisi,n,,tunisi,n,,tunisi,n,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,d,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nanga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,s,nanga,n,,nanga,nas,,nanga ranga,nas fus,,nanga,son,,,?
naninga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,s,naninga,n,,naninga,nas,,naninga raninga,nas fus,,naninga,son,,,?
nanga,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,s,nanga,n,,nanga,nas,,nanga ranga,nas fus,,nanga,son,,,?
nak,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,s,nak,n,,nak,nas,,nak rak,nas fus,,nak,son,,,?
nanitit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,s,nanitit,n,,nanitit,nas,,nanitit ranitit,nas fus,,nanitit,son,,,?
nak,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,s,nak,n,,nak,nas,,nak rak,nas fus,,nak,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nanijjuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,s,nanijjuk,n,,nanijjuk,nas,,nanijjuk ranijjuk,nas fus,,nanijjuk,son,,,?
nagu,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,s,nagu,n,,nagu,nas,,nagu ragu,nas fus,,nagu,son,,,?
nanuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,d,nanuk,n,,nanuk,nas,,nanuk ranuk,nas fus,,nanuk,son,,,?
nanitiguk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,d,nanitiguk,n,,nanitiguk,nas,,nanitiguk ranitiguk,nas fus,,nanitiguk,son,,,?
nanuk,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,d,nanuk,n,,nanuk,nas,,nanuk ranuk,nas fus,,nanuk,son,,,?
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,d,natik,n,,natik,nas,,natik ratik,nas fus,,natik,son,,,?
nanitik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,d,nanitik,n,,nanitik,nas,,nanitik ranitik,nas fus,,nanitik,son,,,?
natik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,d,natik,n,,natik,nas,,natik ratik,nas fus,,natik,son,,,?
lusi,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,2,p,lusi,i(l),,tusi,n,,tusi,n,,tusi,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,1,p,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nanigik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,d,nanigik,n,,nanigik,nas,,nanigik ranigik,nas fus,,nanigik,son,,,?
nagik,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,d,nagik,n,,nagik,nas,,nagik ragik,nas fus,,nagik,son,,,?
nata,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,1,p,nata,n,,nata,nas,,nata rata,nas fus,,nata,son,,,?
nanitigut,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,1,p,nanitigut,n,,nanitigut,nas,,nanitigut ranitigut,nas fus,,nanitigut,son,,,?
nata,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,1,p,nata,n,,nata,nas,,nata rata,nas fus,,nata,son,,,?
nasi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,2,p,nasi,n,,nasi,nas,,nasi rasi,nas fus,,nasi,son,,,?
nanisi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,2,p,nanisi,n,,nanisi,nas,,nanisi ranisi,nas fus,,nanisi,son,,,?
nasi,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,2,p,nasi,n,,nasi,nas,,nasi rasi,nas fus,,nasi,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,1,p,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,2,p,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
nanigit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,3,p,3,p,nanigit,n,,nanigit,nas,,nanigit ranigit,nas fus,,nanigit,son,,,?
nagit,tv,part,oui,neg,,"North Baffin, Cumberland Peninsula",sp,4,p,3,p,nagit,n,,nagit,nas,,nagit ragit,nas fus,,nagit,son,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,2,p,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
lunigit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,3,p,3,p,lunigit,i(l),,tunigit,n,,tunigit,n,,tunigit,n,,,?
lugit,tv,part,oui,pos,prespas,Cumberland Peninsula,sp,4,p,3,p,lugit,i(l),,tugit,n,,tugit,n,,tugit,n,,,?
